name,id
"Portland-Auburn, ME",500
"New York, NY",501
"Binghamton, NY",502
"Macon, GA",503
"Philadelphia, PA",504
"Detroit, MI",505
"Boston, MA-Manchester, NH",506
"Savannah, GA",507
"Pittsburgh, PA",508
"Ft. Wayne, IN",509
"Cleveland-Akron (Canton), OH",510
"Washington, DC (Hagerstown, MD)",511
"Baltimore, MD",512
"Flint-Saginaw-Bay City, MI",513
"Buffalo, NY",514
"Cincinnati, OH",515
"Erie, PA",516
"Charlotte, NC",517
"Greensboro-Winston Salem, NC",518
"Charleston, SC",519
"Augusta, GA",520
"Providence, RI-New Bedford, MA",521
"Columbus, GA",522
"Burlington, VT-Plattsburgh, NY",523
"Atlanta, GA",524
"Albany, GA",525
"Utica, NY",526
"Indianapolis, IN",527
"Miami-Ft. Lauderdale, FL",528
"Louisville, KY",529
"Tallahassee, FL-Thomasville, GA",530
"Tri-Cities, TN-VA",531
"Albany-Schenectady-Troy, NY",532
"Hartford & New Haven, CT",533
"Orlando-Daytona Beach, FL",534
"Columbus, OH",535
"Youngstown, OH",536
"Bangor, ME",537
"Rochester, NY",538
"Tampa-St Petersburg (Sarasota), FL",539
"Traverse City-Cadillac, MI",540
"Lexington, KY",541
"Dayton, OH",542
"Springfield-Holyoke, MA",543
"Norfolk-Portsmouth-Newport News,VA",544
"Greenville-New Bern-Washington, NC",545
"Columbia, SC",546
"Toledo, OH",547
"West Palm Beach-Ft. Pierce, FL",548
"Watertown, NY",549
"Wilmington, NC",550
"Lansing, MI",551
"Presque Isle, ME",552
"Marquette, MI",553
"Wheeling, WV-Steubenville, OH",554
"Syracuse, NY",555
"Richmond-Petersburg, VA",556
"Knoxville, TN",557
"Lima, OH",558
"Bluefield-Beckley-Oak Hill, WV",559
"Raleigh-Durham (Fayetteville), NC",560
"Jacksonville, FL",561
"Grand Rapids-Kalamazoo, MI",563
"Charleston-Huntington, WV",564
"Elmira, NY",565
"Harrisburg-Lancaster-York, PA",566
"Greenville-Spartanburg, SC",567
"Harrisonburg, VA",569
"Florence-Myrtle Beach, SC",570
"Ft. Myers-Naples, FL",571
"Roanoke-Lynchburg, VA",573
"Johnstown-Altoona, PA",574
"Chattanooga, TN",575
"Salisbury, MD",576
"Wilkes Barre-Scranton, PA",577
"Terre Haute, IN",581
"Lafayette, IN",582
"Alpena, MI",583
"Charlottesville, VA",584
"South Bend-Elkhart, IN",588
"Gainesville, FL",592
"Zanesville, OH",596
"Parkersburg, WV",597
"Clarksburg-Weston, WV",598
"Corpus Christi, TX",600
"Chicago, IL",602
"Joplin, MO-Pittsburg, KS",603
"Columbia-Jefferson City, MO",604
"Topeka, KS",605
"Dothan, AL",606
"St. Louis, MO",609
"Rockford, IL",610
"Rochester-Austin, MN-Mason City, IA",611
"Shreveport, LA",612
"Minneapolis-St. Paul, MN",613
"Kansas City, MO",616
"Milwaukee, WI",617
"Houston, TX",618
"Springfield, MO",619
"New Orleans, LA",622
"Dallas-Ft. Worth, TX",623
"Sioux City, IA",624
"Waco-Temple-Bryan, TX",625
"Victoria, TX",626
"Wichita Falls, TX & Lawton, OK",627
"Monroe, LA-El Dorado, AR",628
"Birmingham, AL",630
"Ottumwa, IA-Kirksville, MO",631
"Paducah, KY-Harrisburg, IL",632
"Odessa-Midland, TX",633
"Amarillo, TX",634
"Austin, TX",635
"Harlingen-Weslaco-McAllen, TX",636
"Cedar Rapids-Waterloo-Iowa City, IA",637
"St. Joseph, MO",638
"Jackson, TN",639
"Memphis, TN",640
"San Antonio, TX",641
"Lafayette, LA",642
"Lake Charles, LA",643
"Alexandria, LA",644
"Greenwood-Greenville, MS",647
"Champaign & Springfield-Decatur,IL",648
"Evansville, IN",649
"Oklahoma City, OK",650
"Lubbock, TX",651
"Omaha, NE",652
"Panama City, FL",656
"Sherman, TX-Ada, OK",657
"Green Bay-Appleton, WI",658
"Nashville, TN",659
"San Angelo, TX",661
"Abilene-Sweetwater, TX",662
"Madison, WI",669
"Ft Smith-Springdale, AR",670
"Tulsa, OK",671
"Columbus-Tupelo-West Point, MS",673
"Peoria-Bloomington, IL",675
"Duluth, MN-Superior, WI",676
"Wichita-Hutchinson, KS",678
"Des Moines-Ames, IA",679
"Davenport,IA-Rock Island-Moline,IL",682
"Mobile, AL-Pensacola, FL",686
"Minot-Bismarck-Dickinson, ND",687
"Huntsville-Decatur (Florence), AL",691
"Beaumont-Port Arthur, TX",692
"Little Rock-Pine Bluff, AR",693
"Montgomery (Selma), AL",698
"La Crosse-Eau Claire, WI",702
"Wausau-Rhinelander, WI",705
"Tyler-Longview(Nacogdoches), TX",709
"Hattiesburg-Laurel, MS",710
"Meridian, MS",711
"Baton Rouge, LA",716
"Quincy, IL-Hannibal, MO-Keokuk, IA",717
"Jackson, MS",718
"Lincoln & Hastings-Kearney, NE",722
"Fargo-Valley City, ND",724
"Sioux Falls(Mitchell), SD",725
"Jonesboro, AR",734
"Bowling Green, KY",736
"Mankato, MN",737
"North Platte, NE",740
"Anchorage, AK",743
"Honolulu, HI",744
"Fairbanks, AK",745
"Biloxi-Gulfport, MS",746
"Juneau, AK",747
"Laredo, TX",749
"Denver, CO",751
"Colorado Springs-Pueblo, CO",752
"Phoenix, AZ",753
"Butte-Bozeman, MT",754
"Great Falls, MT",755
"Billings, MT",756
"Boise, ID",757
"Idaho Falls-Pocatello, ID",758
"Cheyenne, WY-Scottsbluff, NE",759
"Twin Falls, ID",760
"Missoula, MT",762
"Rapid City, SD",764
"El Paso, TX",765
"Helena, MT",766
"Casper-Riverton, WY",767
"Salt Lake City, UT",770
"Yuma, AZ-El Centro, CA",771
"Grand Junction-Montrose, CO",773
"Tucson (Sierra Vista), AZ",789
"Albuquerque-Santa Fe, NM",790
"Glendive, MT",798
"Bakersfield, CA",800
"Eugene, OR",801
"Eureka, CA",802
"Los Angeles, CA",803
"Palm Springs, CA",804
"San Francisco-Oakland-San Jose, CA",807
"Yakima-Pasco-Richland-Kennewick, WA",810
"Reno, NV",811
"Medford-Klamath Falls, OR",813
"Seattle-Tacoma, WA",819
"Portland, OR",820
"Bend, OR",821
"San Diego, CA",825
"Monterey-Salinas, CA",828
"Las Vegas, NV",839
"Santa Barbara-San Luis Obispo, CA",855
"Sacramento-Stockton-Modesto, CA",862
"Fresno-Visalia, CA",866
"Chico-Redding, CA",868
"Spokane, WA",881
